2026-07-12 09:11:50 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 09:11:51 | INFO     | uzerp.BackupService | Backup yaratildi: uzerp_backup_20260712_091151.zip
2026-07-12 09:11:51 | INFO     | uzerp.BackupService | Backup yaratildi: uzerp_backup_20260712_091151.zip
2026-07-12 09:12:38 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 09:12:38 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 09:12:38 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 09:12:38 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v1 initial_schema
2026-07-12 09:12:38 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v2 seed_defaults
2026-07-12 09:12:38 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v3 seed_defaults_v2
2026-07-12 09:12:38 | INFO     | uzerp.migrations | 3 ta migratsiya qo'llandi.
2026-07-12 09:12:39 | INFO     | uzerp.auth | Admin foydalanuvchi yaratildi (parol: data/admin_credentials.txt)
2026-07-12 09:12:39 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 09:12:39 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 09:14:16 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 09:14:16 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 09:14:16 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 09:14:16 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v1 initial_schema
2026-07-12 09:14:16 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v2 seed_defaults
2026-07-12 09:14:16 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v3 seed_defaults_v2
2026-07-12 09:14:16 | INFO     | uzerp.migrations | 3 ta migratsiya qo'llandi.
2026-07-12 09:14:17 | INFO     | uzerp.auth | Admin foydalanuvchi yaratildi (parol: data/admin_credentials.txt)
2026-07-12 09:14:17 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 09:14:17 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 09:14:17 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #1 (invoice), summa=720000.00
2026-07-12 09:14:17 | INFO     | uzerp.PluginService | [sample_plugin] Savdo tasdiqlandi: #2 (pos), summa=90000.00
2026-07-12 09:14:17 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 09:14:17 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 09:14:17 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 09:14:17 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 09:14:17 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
